freq (Hz),dB20(V(out)) (dB),phase(V(out)) (deg)
10,-60.000000,0.0006
10.193735,-60.000000,0.0006
10.391223,-60.000000,0.0006
10.592537,-60.000000,0.0006
10.797752,-60.000000,0.0006
11.006942,-60.000000,0.0006
11.220185,-60.000000,0.0006
11.437559,-60.000000,0.0007
11.659144,-60.000000,0.0007
11.885022,-60.000000,0.0007
12.115277,-60.000000,0.0007
12.349992,-60.000000,0.0007
12.589254,-60.000000,0.0007
12.833152,-60.000000,0.0007
13.081775,-60.000000,0.0007
13.335214,-60.000000,0.0008
13.593564,-60.000000,0.0008
13.856919,-60.000000,0.0008
14.125375,-60.000000,0.0008
14.399033,-60.000000,0.0008
14.677993,-60.000000,0.0008
14.962357,-60.000000,0.0009
15.25223,-60.000000,0.0009
15.547718,-60.000000,0.0009
15.848932,-60.000000,0.0009
16.155981,-60.000000,0.0009
16.468979,-60.000000,0.0009
16.78804,-60.000000,0.0010
17.113283,-60.000000,0.0010
17.444827,-60.000000,0.0010
17.782794,-60.000000,0.0010
18.127309,-60.000000,0.0010
18.478498,-60.000000,0.0011
18.836491,-60.000000,0.0011
19.201419,-60.000000,0.0011
19.573418,-60.000000,0.0011
19.952623,-60.000000,0.0011
20.339175,-60.000000,0.0012
20.733216,-60.000000,0.0012
21.13489,-60.000000,0.0012
21.544347,-60.000000,0.0012
21.961736,-60.000000,0.0013
22.387211,-60.000000,0.0013
22.82093,-60.000000,0.0013
23.263051,-60.000000,0.0013
23.713737,-60.000000,0.0014
24.173155,-60.000000,0.0014
24.641473,-60.000000,0.0014
25.118864,-60.000000,0.0014
25.605504,-60.000000,0.0015
26.101572,-60.000000,0.0015
26.607251,-60.000000,0.0015
27.122726,-60.000000,0.0015
27.648188,-60.000000,0.0016
28.183829,-60.000000,0.0016
28.729848,-60.000000,0.0016
29.286446,-60.000000,0.0017
29.853826,-60.000000,0.0017
30.432199,-60.000000,0.0017
31.021777,-60.000000,0.0018
31.622777,-60.000000,0.0018
32.23542,-60.000000,0.0018
32.859932,-60.000000,0.0019
33.496544,-60.000000,0.0019
34.145489,-60.000000,0.0019
34.807006,-60.000000,0.0020
35.481339,-60.000000,0.0020
36.168736,-60.000000,0.0021
36.869451,-60.000000,0.0021
37.58374,-60.000000,0.0021
38.311868,-60.000000,0.0022
39.054103,-60.000000,0.0022
39.810717,-60.000000,0.0023
40.581989,-60.000000,0.0023
41.368204,-60.000000,0.0024
42.16965,-60.000000,0.0024
42.986623,-60.000000,0.0025
43.819424,-60.000000,0.0025
44.668359,-60.000000,0.0026
45.533741,-60.000000,0.0026
46.415888,-60.000000,0.0027
47.315126,-60.000000,0.0027
48.231785,-60.000000,0.0028
49.166203,-60.000000,0.0028
50.118723,-60.000000,0.0029
51.089698,-60.000000,0.0029
52.079483,-60.000000,0.0030
53.088444,-60.000000,0.0030
54.116953,-60.000000,0.0031
55.165387,-60.000000,0.0032
56.234133,-60.000000,0.0032
57.323584,-60.000000,0.0033
58.434141,-60.000000,0.0033
59.566214,-60.000000,0.0034
60.72022,-60.000000,0.0035
61.896582,-60.000000,0.0035
63.095734,-60.000000,0.0036
64.318119,-60.000000,0.0037
65.564185,-60.000000,0.0037
66.834392,-60.000000,0.0038
68.129207,-60.000000,0.0039
69.449107,-60.000000,0.0040
70.794578,-60.000000,0.0040
72.166116,-60.000000,0.0041
73.564225,-60.000000,0.0042
74.989421,-60.000000,0.0043
76.442227,-60.000000,0.0044
77.92318,-60.000000,0.0044
79.432823,-60.000000,0.0045
80.971714,-60.000000,0.0046
82.540419,-60.000000,0.0047
84.139514,-60.000000,0.0048
85.76959,-60.000000,0.0049
87.431246,-60.000000,0.0050
89.125094,-60.000000,0.0051
90.851758,-60.000000,0.0052
92.611873,-60.000000,0.0053
94.406088,-60.000000,0.0054
96.235063,-60.000000,0.0055
98.099471,-60.000000,0.0056
100,-60.000000,0.0057
101.93735,-60.000000,0.0058
103.91223,-60.000000,0.0059
105.92537,-60.000000,0.0060
107.97752,-60.000000,0.0062
110.06942,-60.000000,0.0063
112.20185,-60.000000,0.0064
114.37559,-60.000000,0.0065
116.59144,-60.000000,0.0067
118.85022,-60.000000,0.0068
121.15277,-60.000000,0.0069
123.49992,-60.000000,0.0071
125.89254,-60.000000,0.0072
128.33152,-60.000000,0.0073
130.81775,-60.000000,0.0075
133.35214,-60.000000,0.0076
135.93564,-60.000000,0.0078
138.56919,-60.000000,0.0079
141.25375,-60.000000,0.0081
143.99033,-60.000000,0.0082
146.77993,-60.000000,0.0084
149.62357,-60.000000,0.0085
152.5223,-60.000000,0.0087
155.47718,-60.000000,0.0089
158.48932,-60.000000,0.0091
161.55981,-60.000000,0.0092
164.68979,-60.000000,0.0094
167.8804,-60.000000,0.0096
