freq,V(vco_out)
0,1.183376e-06
1250000,1.405612e-06
2500000,1.762664e-06
3750000,1.221551e-06
5000000,1.907218e-06
6250000,1.990828e-06
7500000,2.097878e-06
8750000,1.933062e-06
10000000,1.625471e-06
11250000,1.256513e-06
12500000,1.709693e-06
13750000,1.578408e-06
15000000,1.412601e-06
16250000,1.878805e-06
17500000,1.461014e-06
18750000,1.483855e-06
20000000,1.390985e-06
21250000,2.408238e-06
22500000,1.575705e-06
23750000,1.124957e-06
25000000,1.764267e-06
26250000,1.393175e-06
27500000,1.730129e-06
28750000,1.401073e-06
30000000,1.360077e-06
31250000,1.880153e-06
32500000,2.155557e-06
33750000,1.737481e-06
35000000,1.355224e-06
36250000,1.148417e-06
37500000,1.381734e-06
38750000,1.826874e-06
40000000,1.915237e-06
41250000,1.486156e-06
42500000,1.496661e-06
43750000,2.599532e-06
45000000,2.017268e-06
46250000,3.004350e-06
47500000,1.561461e-06
48750000,1.603335e-06
50000000,2.605649e-06
51250000,2.176671e-06
52500000,2.478338e-06
53750000,2.712183e-06
55000000,2.072952e-06
56250000,2.243387e-06
57500000,2.519705e-06
58750000,2.041536e-06
60000000,2.591655e-06
61250000,2.398992e-06
62500000,2.031203e-06
63750000,2.453828e-06
65000000,2.532635e-06
66250000,2.748646e-06
67500000,2.928976e-06
68750000,3.025750e-06
70000000,2.792845e-06
71250000,3.040681e-06
72500000,3.070404e-06
73750000,4.001780e-06
75000000,4.100948e-06
76250000,3.965554e-06
77500000,4.530943e-06
78750000,5.454066e-06
80000000,5.881014e-06
81250000,5.244254e-06
82500000,7.205710e-06
83750000,7.354942e-06
85000000,9.117200e-06
86250000,9.587377e-06
87500000,1.121900e-05
88750000,1.359342e-05
90000000,1.652757e-05
91250000,2.143013e-05
92500000,2.802507e-05
93750000,3.820201e-05
95000000,5.638402e-05
96250000,9.080997e-05
97500000,1.626506e-04
98750000,3.115989e-04
100000000,4.486675e-04
101250000,3.107215e-04
102500000,1.623449e-04
103750000,9.115487e-05
105000000,5.615224e-05
106250000,3.856544e-05
107500000,2.788980e-05
108750000,2.122924e-05
110000000,1.764126e-05
111250000,1.451184e-05
112500000,1.136823e-05
113750000,9.759563e-06
115000000,8.337614e-06
116250000,7.732993e-06
117500000,6.804133e-06
118750000,5.628678e-06
120000000,5.740742e-06
121250000,4.931078e-06
122500000,4.663051e-06
123750000,3.612103e-06
125000000,3.746122e-06
126250000,3.460949e-06
127500000,3.559503e-06
128750000,2.924878e-06
130000000,3.840858e-06
131250000,3.760788e-06
132500000,3.444067e-06
133750000,3.471431e-06
135000000,2.635184e-06
136250000,2.447011e-06
137500000,2.577381e-06
138750000,2.922442e-06
140000000,3.145468e-06
141250000,1.983827e-06
142500000,1.751248e-06
143750000,1.769670e-06
145000000,2.652142e-06
146250000,2.667926e-06
147500000,2.487881e-06
148750000,2.009039e-06
150000000,2.302916e-06
151250000,2.069424e-06
152500000,2.134844e-06
153750000,2.148818e-06
155000000,1.437511e-06
156250000,2.132243e-06
157500000,2.218632e-06
158750000,2.115145e-06
160000000,2.693519e-06
161250000,2.147838e-06
162500000,1.629502e-06
163750000,1.961025e-06
165000000,1.758377e-06
166250000,1.504669e-06
167500000,1.747765e-06
168750000,1.656963e-06
170000000,2.092520e-06
171250000,1.696963e-06
172500000,2.334852e-06
173750000,1.977259e-06
175000000,1.760405e-06
176250000,2.772063e-06
177500000,1.214629e-06
178750000,1.445770e-06
180000000,1.620012e-06
181250000,1.363243e-06
182500000,2.068348e-06
183750000,1.853784e-06
185000000,1.663419e-06
186250000,1.196377e-06
187500000,1.685919e-06
188750000,1.320488e-06
190000000,2.540456e-06
191250000,1.422084e-06
192500000,1.179765e-06
193750000,1.187471e-06
195000000,1.278124e-06
196250000,1.295946e-06
197500000,1.548180e-06
198750000,1.996631e-06
200000000,2.279939e-06
201250000,1.782615e-06
202500000,1.041699e-06
203750000,1.294624e-06
205000000,2.597716e-06
206250000,2.955943e-06
207500000,1.435533e-06
208750000,2.371433e-06
210000000,1.131057e-06
211250000,1.380319e-06
212500000,1.501663e-06
213750000,2.230260e-06
215000000,1.813292e-06
216250000,1.949684e-06
217500000,1.533672e-06
218750000,2.404405e-06
220000000,1.601013e-06
221250000,1.409262e-06
222500000,1.629968e-06
223750000,1.518499e-06
225000000,1.952353e-06
226250000,1.709202e-06
227500000,2.455356e-06
228750000,2.186902e-06
230000000,1.182526e-06
231250000,1.582904e-06
232500000,9.821339e-07
233750000,1.125381e-06
235000000,2.281407e-06
236250000,1.644924e-06
237500000,2.499560e-06
238750000,1.788843e-06
240000000,1.963456e-06
241250000,1.460889e-06
242500000,1.480907e-06
243750000,1.396534e-06
245000000,1.447404e-06
246250000,2.349622e-06
247500000,2.016200e-06
248750000,1.988227e-06
250000000,1.868854e-06
251250000,1.091630e-06
252500000,2.803852e-06
253750000,1.564824e-06
255000000,2.067351e-06
256250000,1.559353e-06
257500000,2.236376e-06
