time (s),V(vdd_pll) (V),V(ctrl) (V),I(mp0) (A),V(vref) (V)
0,0.8000755,-1.477668e-06,0.0008728068,0.600007
8.95e-10,0.7999845,4.150062e-06,0.0008720883,0.6000069
9.1e-10,0.8001044,1.011801e-05,0.0008726168,0.6000155
9.25e-10,0.7998422,2.432536e-06,0.0008727885,0.5999881
9.4e-10,0.7999264,0.02861938,0.0008750895,0.6000079
9.55e-10,0.7999568,0.1139031,0.0008786862,0.5999926
9.7e-10,0.7999939,0.247325,0.0008856758,0.6000178
9.85e-10,0.7998632,0.4157354,0.0008939578,0.5999911
1e-09,0.800034,0.602377,0.0009033225,0.600045
1.015e-09,0.7998216,0.7887448,0.0009122284,0.599985
1.03e-09,0.8001031,0.9564573,0.0009214107,0.5999931
1.045e-09,0.7999615,1.08883,0.0009283498,0.5999921
1.06e-09,0.8000305,1.172782,0.0009310295,0.5999814
1.075e-09,0.7997965,1.200008,0.0009333512,0.600027
1.09e-09,0.7999465,1.200007,0.0009331738,0.5999891
1.105e-09,0.8003698,1.199993,0.0009332358,0.5999965
2e-09,0.8000876,1.199984,0.000932437,0.6000102
3.775e-09,0.8002192,1.199981,0.0009335439,0.6000173
3.79e-09,0.7997564,1.200005,0.0009324231,0.6000318
3.805e-09,0.7999238,1.199214,0.0009339109,0.6000462
3.82e-09,0.8000927,1.16288,0.000931123,0.6000256
3.835e-09,0.8000708,1.075485,0.0009268224,0.5999979
3.85e-09,0.8001376,0.9449389,0.0009206385,0.6000101
3.865e-09,0.8001912,0.7830885,0.0009121389,0.6000229
3.88e-09,0.7999078,0.6046222,0.0009027089,0.5999937
3.895e-09,0.800311,0.4257665,0.0008944144,0.6000077
3.91e-09,0.7998832,0.2627148,0.0008860639,0.5999857
3.925e-09,0.7997255,0.1302006,0.0008796677,0.6000093
3.94e-09,0.7997405,0.04037509,0.0008749256,0.5999882
3.955e-09,0.7999905,0.001330455,0.0008728439,0.599963
3.97e-09,0.7997332,1.528269e-05,0.0008730771,0.5999903
3.985e-09,0.7998513,-6.069248e-06,0.0008723648,0.5999837
4e-09,0.8001292,8.399224e-06,0.0008735346,0.6000402
6e-09,0.8001518,7.647477e-06,0.0008729676,0.6000383
7.295e-09,0.8002398,-1.089116e-06,0.0008730302,0.6000315
7.31e-09,0.800063,1.864893e-05,0.0008738459,0.6000442
7.325e-09,0.7999097,0.002902628,0.0008733877,0.5999999
7.34e-09,0.7998899,0.05077325,0.0008755579,0.6000273
7.355e-09,0.8000359,0.1530643,0.0008795155,0.599989
7.37e-09,0.7999934,0.2996592,0.0008880601,0.6000642
7.385e-09,0.7998473,0.4760005,0.000897254,0.6000093
7.4e-09,0.7998463,0.6646381,0.0009056422,0.6000188
7.415e-09,0.7998162,0.8469432,0.0009148876,0.600025
7.43e-09,0.7999457,1.004648,0.0009226914,0.6000394
7.445e-09,0.8000254,1.122343,0.0009297836,0.6000629
7.46e-09,0.799689,1.188251,0.0009322435,0.5999979
7.475e-09,0.7999388,1.19999,0.000932628,0.6000303
7.49e-09,0.8000934,1.200016,0.0009325653,0.6000398
7.505e-09,0.8000414,1.199981,0.0009336466,0.6000232
8e-09,0.8001207,1.199983,0.0009327334,0.6000266
1e-08,0.7996345,1.199981,0.0009321768,0.6000321
1.0175e-08,0.799971,1.200003,0.000933259,0.6000248
1.019e-08,0.7998749,1.200016,0.0009330192,0.600045
1.0205e-08,0.7998743,1.199984,0.0009327074,0.6000357
1.022e-08,0.8000391,1.174375,0.0009319436,0.6000282
1.0235e-08,0.7999414,1.096622,0.0009285075,0.6000263
1.025e-08,0.8001902,0.9738194,0.0009215384,0.6000034
1.0265e-08,0.8001546,0.817079,0.0009136856,0.6000144
1.028e-08,0.7997714,0.6406638,0.0009049542,0.6000386
1.0295e-08,0.7999422,0.4605593,0.0008949721,0.600048
1.031e-08,0.7999775,0.2930805,0.0008873168,0.6000125
1.0325e-08,0.7997255,0.1534788,0.000880572,0.6000224
1.034e-08,0.8000665,0.05441632,0.0008764404,0.600028
1.0355e-08,0.7998835,0.004784274,0.0008727641,0.6000095
1.037e-08,0.7998979,6.474538e-06,0.0008723773,0.6000411
1.0385e-08,0.8001211,5.094986e-06,0.0008728175,0.6000281
1.2e-08,0.8002465,-1.363168e-05,0.0008730218,0.6000152
1.3695e-08,0.8000582,-9.396657e-06,0.0008738818,0.6000576
1.371e-08,0.8000838,2.665565e-06,0.0008726082,0.6000731
1.3725e-08,0.7998323,7.817789e-06,0.0008727682,0.6000447
1.374e-08,0.7999346,0.02977097,0.0008751148,0.6000529
1.3755e-08,0.7998173,0.1160288,0.0008786701,0.6000273
1.377e-08,0.8000505,0.2502245,0.0008850189,0.6000714
1.3785e-08,0.8000835,0.4191493,0.0008939203,0.6000496
1.38e-08,0.7999516,0.6059543,0.0009037131,0.6000579
1.3815e-08,0.8000259,0.7921767,0.0009129229,0.6000496
1.383e-08,0.7998779,0.9593972,0.0009203769,0.6000775
1.3845e-08,0.7997225,1.090925,0.0009282261,0.6000299
1.386e-08,0.8001015,1.173851,0.0009321866,0.6000295
1.3875e-08,0.8000128,1.199967,0.0009336336,0.6000475
1.389e-08,0.7999147,1.199978,0.0009332225,0.6000711
1.3905e-08,0.7999861,1.200024,0.0009338173,0.6000283
1.4e-08,0.8001781,1.200012,0.0009340197,0.6000351
1.6e-08,0.8001145,1.200014,0.0009329786,0.5999955
1.6575e-08,0.8002331,1.200031,0.0009329299,0.6000606
1.659e-08,0.7998294,1.200019,0.0009325874,0.6000718
1.6605e-08,0.8002539,1.198528,0.0009333837,0.6000288
1.662e-08,0.7999095,1.158978,0.0009311192,0.6000424
1.6635e-08,0.7998375,1.068602,0.0009274113,0.6000205
1.665e-08,0.7999648,0.935787,0.000919372,0.6000029
1.6665e-08,0.799959,0.7724752,0.0009119413,0.6000419
1.668e-08,0.7999659,0.5934867,0.0009019039,0.6000565
1.6695e-08,0.8000246,0.4151242,0.0008936816,0.6000594
1.671e-08,0.7997594,0.2535048,0.0008850868,0.6000513
1.6725e-08,0.7998759,0.1233823,0.0008802724,0.6000402
1.674e-08,0.7997747,0.03649965,0.0008746609,0.6000654
1.6755e-08,0.7998399,0.0006744947,0.0008727194,0.6000369
1.677e-08,0.7998679,-2.411257e-05,0.0008737178,0.6000488
1.6785e-08,0.8000324,1.774064e-05,0.0008732432,0.6000528
1.8e-08,0.8000834,-4.293027e-06,0.0008722965,0.6000255
2e-08,0.7999065,-1.713422e-05,0.0008736671,0.6000343
2.0095e-08,0.8001174,-3.718263e-05,0.0008720291,0.6000334
2.011e-08,0.7999511,5.307886e-06,0.0008732704,0.6000901
2.0125e-08,0.800009,0.004672337,0.0008733319,0.60009
2.014e-08,0.7998667,0.05739633,0.0008765248,0.6000407
2.0155e-08,0.8002145,0.1638551,0.0008807106,0.6000384
2.017e-08,0.8001382,0.3136032,0.0008876622,0.6000764
2.0185e-08,0.7998312,0.4916949,0.000898012,0.6000269
2.02e-08,0.8001606,0.6805055,0.0009076182,0.6000618
2.0215e-08,0.7998761,0.8613708,0.0009156608,0.6000292
2.023e-08,0.7999804,1.01634,0.0009241595,0.6000831
2.0245e-08,0.8002358,1.130018,0.0009296628,0.6000639
2.026e-08,0.7999713,1.191173,0.0009320296,0.6000476
2.0275e-08,0.8001221,1.200001,0.000932273,0.6000518
2.029e-08,0.8000951,1.200009,0.0009318192,0.6000681
2.0305e-08,0.7999324,1.200008,0.000933423,0.6000722
2.2e-08,0.7997554,1.200003,0.0009324074,0.6000512
2.2975e-08,0.7998936,1.200008,0.0009327015,0.6000809
2.299e-08,0.8001786,1.199985,0.0009331522,0.6000876
2.3005e-08,0.8000073,1.196282,0.0009333771,0.6000679
2.302e-08,0.7998665,1.149319,0.0009300606,0.6000541
2.3035e-08,0.8000272,1.05253,0.0009255919,0.6000599
2.305e-08,0.800418,0.9146868,0.0009182899,0.6000513
2.3065e-08,0.8002533,0.7482456,0.0009111192,0.6000646
2.308e-08,0.8001211,0.5684104,0.0009017443,0.6000536
2.3095e-08,0.7998701,0.3914193,0.0008929905,0.6000448
2.311e-08,0.800058,0.2333967,0.0008854463,0.6000521
2.3125e-08,0.8000593,0.1085626,0.0008782941,0.600033
2.314e-08,0.8000091,0.028333,0.0008747806,0.6000376
2.3155e-08,0.800156,2.132861e-05,0.0008725569,0.6000604
2.317e-08,0.8001713,-3.240776e-05,0.0008731954,0.6000723
2.3185e-08,0.8001098,-2.683052e-05,0.0008731114,0.6000424
2.4e-08,0.7999851,-1.942505e-05,0.0008738716,0.6000818
2.6e-08,0.8000508,1.576341e-05,0.0008724972,0.6000863
2.6495e-08,0.8001539,-1.05569e-05,0.0008737416,0.6000527
2.651e-08,0.7997443,2.668194e-06,0.0008734185,0.6000825
2.6525e-08,0.8000895,3.092531e-05,0.0008725965,0.6000845
2.654e-08,0.7999692,0.02796081,0.000874234,0.6000783
2.6555e-08,0.8000086,0.1125143,0.0008787371,0.6001085
2.657e-08,0.8000982,0.2454238,0.0008846589,0.6000794
2.6585e-08,0.8001254,0.4134764,0.0008932983,0.6000427
2.66e-08,0.799865,0.5999775,0.0009036585,0.6000895
2.6615e-08,0.7998952,0.7865456,0.0009123581,0.6000723
2.663e-08,0.7996785,0.9545513,0.0009211389,0.6000693
2.6645e-08,0.800159,1.087459,0.0009274815,0.6001238
2.666e-08,0.8002824,1.172054,0.0009318188,0.6000123
2.6675e-08,0.8000193,1.200021,0.0009323695,0.6000783
2.669e-08,0.7998752,1.199996,0.0009330645,0.6000309
2.6705e-08,0.8001716,1.200002,0.0009326635,0.600022
2.8e-08,0.7999143,1.19999,0.0009334861,0.6000741
2.9375e-08,0.7998932,1.200004,0.0009341209,0.600075
2.939e-08,0.8001927,1.199993,0.0009328354,0.6001042
2.9405e-08,0.7998574,1.19989,0.0009333387,0.600092
2.942e-08,0.7998661,1.169264,0.0009310017,0.6001066
2.9435e-08,0.7999008,1.08695,0.0009280118,0.6001049
2.945e-08,0.8001047,0.960529,0.0009202736,0.6001059
2.9465e-08,0.7999546,0.8013705,0.0009130795,0.6000705
2.948e-08,0.7997683,0.6238889,0.0009044484,0.6000828
2.9495e-08,0.7997375,0.4442751,0.0008941483,0.6000811
2.951e-08,0.8002529,0.2788128,0.0008882522,0.6000729
2.9525e-08,0.7998657,0.1423952,0.0008798335,0.6000813
2.954e-08,0.7997799,0.04760855,0.0008750403,0.6001107
2.9555e-08,0.8001948,0.002909754,0.0008731999,0.6000901
2.957e-08,0.7999049,-1.75895e-05,0.0008722401,0.6000643
2.9585e-08,0.800113,2.561675e-05,0.000872747,0.6001185
3e-08,0.7999391,1.962824e-05,0.0008733487,0.600096
3.2e-08,0.7998923,2.626122e-05,0.0008732215,0.600088
3.2895e-08,0.8002957,3.598596e-06,0.0008726693,0.6000627
3.291e-08,0.8002633,-1.712271e-05,0.0008730789,0.60008
3.2925e-08,0.7999483,-3.404651e-05,0.0008732318,0.6000863
3.294e-08,0.8002309,0.009203999,0.0008738326,0.6001064
3.2955e-08,0.7997537,0.07102349,0.0008760794,0.6000693
3.297e-08,0.8003762,0.1853236,0.0008825889,0.6000457
3.2985e-08,0.8000376,0.3406963,0.0008895882,0.6001096
3.3e-08,0.7998781,0.5217251,0.0008992988,0.6000606
3.3015e-08,0.799816,0.7105271,0.0009087498,0.6000603
3.303e-08,0.8001589,0.8884193,0.0009177731,0.6000956
3.3045e-08,0.7998598,1.037664,0.0009231828,0.6000769
3.306e-08,0.799885,1.143589,0.0009302667,0.6000937
3.3075e-08,0.7998413,1.195594,0.0009323951,0.6001123
3.309e-08,0.8000814,1.199993,0.0009336078,0.6000567
3.3105e-08,0.7999706,1.200032,0.000933344,0.600083
3.4e-08,0.7999935,1.199998,0.0009324676,0.6000816
3.5775e-08,0.7999747,1.200026,0.0009327105,0.6000768
3.579e-08,0.8000058,1.199972,0.0009332135,0.6000903
