v /vdd_pll; tran (V) X,v /vdd_pll; tran (V) Y,i /mp0; tran (A) X,i /mp0; tran (A) Y
0,0.8000755,0,0.0008728068
9.25e-10,0.7998422,9.85e-10,0.0008939578
9.7e-10,0.7999939,1.09e-09,0.0009331738
1.015e-09,0.7998216,3.835e-09,0.0009268224
1.06e-09,0.8000305,3.94e-09,0.0008749256
1.105e-09,0.8003698,7.31e-09,0.0008738459
3.79e-09,0.7997564,7.415e-09,0.0009148876
3.835e-09,0.8000708,8e-09,0.0009327334
3.88e-09,0.7999078,1.025e-08,0.0009215384
3.925e-09,0.7997255,1.0355e-08,0.0008727641
3.97e-09,0.7997332,1.374e-08,0.0008751148
6e-09,0.8001518,1.3845e-08,0.0009282261
7.325e-09,0.7999097,1.6575e-08,0.0009329299
7.37e-09,0.7999934,1.668e-08,0.0009019039
7.415e-09,0.7998162,1.6785e-08,0.0008732432
7.46e-09,0.799689,2.0155e-08,0.0008807106
7.505e-09,0.8000414,2.026e-08,0.0009320296
1.0175e-08,0.799971,2.3005e-08,0.0009333771
1.022e-08,0.8000391,2.311e-08,0.0008854463
1.0265e-08,0.8001546,2.6e-08,0.0008724972
1.031e-08,0.7999775,2.6585e-08,0.0008932983
1.0355e-08,0.7998835,2.669e-08,0.0009330645
1.2e-08,0.8002465,2.9435e-08,0.0009280118
1.3725e-08,0.7998323,2.954e-08,0.0008750403
1.377e-08,0.8000505,3.291e-08,0.0008730789
1.3815e-08,0.8000259,3.3015e-08,0.0009087498
1.386e-08,0.8001015,3.4e-08,0.0009324676
1.3905e-08,0.7999861,3.5865e-08,0.0009134389
1.6575e-08,0.8002331,3.597e-08,0.0008722792
1.662e-08,0.7999095,3.934e-08,0.0008727765
1.6665e-08,0.799959,3.9445e-08,0.0009262974
1.671e-08,0.7997594,3.982e-08,0.0009328831
1.6755e-08,0.7998399,3.989e-08,0.000932348
1.8e-08,0.8000834,3.996e-08,0.000932996
2.011e-08,0.7999511,4.003e-08,0.0009345362
2.0155e-08,0.8002145,4.01e-08,0.0009483745
2.02e-08,0.8001606,4.017e-08,0.0009756878
2.0245e-08,0.8002358,4.024e-08,0.001014654
2.029e-08,0.8000951,4.031e-08,0.001064005
2.2975e-08,0.7998936,4.038e-08,0.001121381
2.302e-08,0.7998665,4.045e-08,0.001186038
2.3065e-08,0.8002533,4.052e-08,0.001251743
2.311e-08,0.800058,4.059e-08,0.001316754
2.3155e-08,0.800156,4.066e-08,0.001378017
2.4e-08,0.7999851,4.073e-08,0.001430389
2.651e-08,0.7997443,4.08e-08,0.001475987
2.6555e-08,0.8000086,4.087e-08,0.00150821
2.66e-08,0.799865,4.094e-08,0.001528151
2.6645e-08,0.800159,4.101e-08,0.001532744
2.669e-08,0.7998752,4.108e-08,0.001532581
2.9375e-08,0.7998932,4.115e-08,0.001532749
